model,scenario,subset,n_samples,n_valid_positions,pcc,rmse,direction_accuracy,coverage,reference_fit_scope
Matched Control,val_chem_only,common_intersection,979,3564377,0.1879954878497815,0.3808304071426391,0.5635969483587174,0.9964312301744715,split_final=train only
V2 batch-enabled Huber,val_chem_only,common_intersection,979,3564377,0.1977574477784114,0.6187735199928284,0.5565794527346574,0.9964312301744715,split_final=train only
S1 B anchor Morgan Huber,val_chem_only,common_intersection,979,3564377,0.2024176345321642,0.5954423546791077,0.5671518472933699,0.9964312301744715,split_final=train only
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,common_intersection,979,3564377,0.1973191509418496,0.6132054328918457,0.5638791856192541,0.9964312301744715,split_final=train only
S2B D0 hierarchical none Huber,val_chem_only,common_intersection,979,3564377,0.21455313553547486,0.5468287467956543,0.5678044157506347,0.9964312301744717,split_final=train only
S2B D1 hierarchical Morgan Huber,val_chem_only,common_intersection,979,3564377,0.19954131267212236,0.6071714758872986,0.5633509025560427,0.9964312301744717,split_final=train only
S2B D2 hierarchical Morgan experimental FC,val_chem_only,common_intersection,979,3564377,0.20814012881396043,0.5786022543907166,0.5656935279292847,0.9964312301744717,split_final=train only
