model,scenario,chemical_name,rmse_gain_vs_d0
S2B D1 hierarchical Morgan Huber,val_time,EDTA,0.07090252637863159
S2B D1 hierarchical Morgan Huber,val_time,Emodin,0.0413508415222168
S2B D1 hierarchical Morgan Huber,val_time,Geldanamycin,-0.0228307843208313
S2B D1 hierarchical Morgan Huber,val_time,Haloperidol,-0.10666912794113159
S2B D1 hierarchical Morgan Huber,val_time,Harmine hydrochloride,0.004652261734008789
S2B D1 hierarchical Morgan Huber,val_time,Hoechst 33258,0.0428318977355957
S2B D1 hierarchical Morgan Huber,val_time,LY 294002 hydrochloride,-0.03519338369369507
S2B D1 hierarchical Morgan Huber,val_time,NaCl,0.0005862116813659668
S2B D1 hierarchical Morgan Huber,val_time,Nigericin,0.023756206035614014
S2B D1 hierarchical Morgan Huber,val_time,Nocodazole,0.05936986207962036
S2B D1 hierarchical Morgan Huber,val_time,Nystatin dihydrate,0.03469747304916382
S2B D1 hierarchical Morgan Huber,val_time,Oligomycin,-0.053868621587753296
S2B D1 hierarchical Morgan Huber,val_time,Parthenolide,0.0473482608795166
S2B D1 hierarchical Morgan Huber,val_time,Rapamycin,0.062386542558670044
S2B D1 hierarchical Morgan Huber,val_time,SDS,0.08905693888664246
S2B D1 hierarchical Morgan Huber,val_time,Sorbitol,0.06862777471542358
S2B D1 hierarchical Morgan Huber,val_time,Staurosporine,0.04627445340156555
S2B D1 hierarchical Morgan Huber,val_time,Trichostatin A,0.0193098783493042
S2B D1 hierarchical Morgan Huber,val_time,Trifluoperazine dihydrochloride,0.0412021279335022
S2B D1 hierarchical Morgan Huber,val_time,Tunicamycin,0.06941205263137817
S2B D1 hierarchical Morgan Huber,val_time,U-73122,0.04482772946357727
S2B D1 hierarchical Morgan Huber,val_time,Valinomycin,0.026958614587783813
S2B D1 hierarchical Morgan Huber,val_time,Wortmannin,0.05664545297622681
S2B D2 hierarchical Morgan experimental FC,val_both,Amphotericin B,-0.08527487516403198
S2B D2 hierarchical Morgan experimental FC,val_both,FCCP,0.017118453979492188
S2B D2 hierarchical Morgan experimental FC,val_both,Hydroxyurea,0.07232993841171265
S2B D2 hierarchical Morgan experimental FC,val_both,Pentamidine isethionate,-0.008874356746673584
S2B D2 hierarchical Morgan experimental FC,val_both,Raloxifene hydrochloride,-0.03688657283782959
S2B D2 hierarchical Morgan experimental FC,val_both,Sulfometuron methyl,-0.018163621425628662
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Amphotericin B,-0.13393408060073853
S2B D2 hierarchical Morgan experimental FC,val_chem_only,FCCP,-0.009658753871917725
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Hydroxyurea,0.05019885301589966
