model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
S2B D1 hierarchical Morgan Huber,val_time,CHX,3,11109,0.521045446395874,0.36301279067993164,0.5543726122717788,0.521045446395874,0.70825456836799
S2B D1 hierarchical Morgan Huber,val_time,Cisplatin,8,28666,0.4753599464893341,0.33668097853660583,0.35098542632129165,0.4753599464893341,0.6214330565827112
S2B D1 hierarchical Morgan Huber,val_time,Clomiphene citrate,3,11308,0.49067816138267517,0.34645673632621765,0.4180310317649069,0.49067816138267517,0.6414927484966395
S2B D1 hierarchical Morgan Huber,val_time,Clotrimazole,2,7647,0.4487468898296356,0.30336543917655945,0.46218087019680715,0.4487468898296356,0.6301817706290048
S2B D1 hierarchical Morgan Huber,val_time,Cyclopiazonic acid,5,15046,0.6581026911735535,0.46427246928215027,0.5337183846023549,0.6581026911735535,0.6940715140236607
S2B D1 hierarchical Morgan Huber,val_time,Desipramine hydrochloride,2,7573,0.45198312401771545,0.32682421803474426,0.3524094836448872,0.45198312401771545,0.6167965139310709
S2B D1 hierarchical Morgan Huber,val_time,Dyclonine hydrochloride,3,11585,0.56110018491745,0.3728470504283905,0.21975659576323095,0.56110018491745,0.6271040138109625
S2B D1 hierarchical Morgan Huber,val_time,EDTA,12,43852,0.48286598920822144,0.33446377515792847,0.39480653693134987,0.48286598920822144,0.6406321262428167
S2B D1 hierarchical Morgan Huber,val_time,Emodin,1,3549,0.5182499289512634,0.38563454151153564,0.24501346938682766,0.5182499289512634,0.5826993519301211
S2B D1 hierarchical Morgan Huber,val_time,Geldanamycin,3,11398,0.5031830072402954,0.34886184334754944,0.2812086000615319,0.5031830072402954,0.5900157922442534
S2B D1 hierarchical Morgan Huber,val_time,Haloperidol,3,11241,0.6416199803352356,0.47177109122276306,0.33240723777077597,0.6416199803352356,0.5873142958811494
S2B D1 hierarchical Morgan Huber,val_time,Harmine hydrochloride,4,14734,0.5101780295372009,0.3652953803539276,0.3655816135082252,0.5101780295372009,0.5877562101262386
S2B D1 hierarchical Morgan Huber,val_time,Hoechst 33258,3,10997,0.6527236700057983,0.4655705690383911,0.32987381688710565,0.6527236700057983,0.5952532508866054
S2B D1 hierarchical Morgan Huber,val_time,LY 294002 hydrochloride,1,3659,0.7047367095947266,0.5021215081214905,0.2790588470277061,0.7047367095947266,0.5698278218092375
S2B D1 hierarchical Morgan Huber,val_time,NaCl,6,14321,0.488243967294693,0.3391697406768799,0.3074129377275543,0.488243967294693,0.6014244815306193
S2B D1 hierarchical Morgan Huber,val_time,Nigericin,3,10307,0.5710715651512146,0.41528525948524475,0.4336221501455683,0.5710715651512146,0.6240419132628311
S2B D1 hierarchical Morgan Huber,val_time,Nocodazole,3,11312,0.48572975397109985,0.3389664590358734,0.35271896597853025,0.48572975397109985,0.6394094766619519
S2B D1 hierarchical Morgan Huber,val_time,Nystatin dihydrate,1,3682,0.4237014949321747,0.2963755130767822,0.23274606950706386,0.4237014949321747,0.6518196632265073
S2B D1 hierarchical Morgan Huber,val_time,Oligomycin,1,3478,0.49900197982788086,0.3669000566005707,0.5099080346207854,0.49900197982788086,0.6673375503162737
S2B D1 hierarchical Morgan Huber,val_time,Parthenolide,2,6160,0.7584090232849121,0.550552248954773,0.3352490588805295,0.7584090232849121,0.6360389610389611
S2B D1 hierarchical Morgan Huber,val_time,Rapamycin,7,21776,0.4420117437839508,0.30645498633384705,0.3605590631668319,0.4420117437839508,0.6329904481998531
S2B D1 hierarchical Morgan Huber,val_time,SDS,6,21587,0.4974832832813263,0.3444317579269409,0.2931916353801507,0.4974832832813263,0.5992495483392782
S2B D1 hierarchical Morgan Huber,val_time,Sorbitol,10,28829,0.48137032985687256,0.33973607420921326,0.45108929528705083,0.48137032985687256,0.6403274480557771
S2B D1 hierarchical Morgan Huber,val_time,Staurosporine,3,11688,0.3931238651275635,0.26865899562835693,0.41748026566473073,0.3931238651275635,0.644678302532512
S2B D1 hierarchical Morgan Huber,val_time,Trichostatin A,6,22699,0.598945140838623,0.42538416385650635,0.2938214260518578,0.598945140838623,0.5836380457288868
S2B D1 hierarchical Morgan Huber,val_time,Trifluoperazine dihydrochloride,1,3903,0.4128052592277527,0.2909231185913086,0.4527439628282849,0.4128052592277527,0.6569305662311042
S2B D1 hierarchical Morgan Huber,val_time,Tunicamycin,2,7673,0.44402486085891724,0.3011554181575775,0.31121608964457403,0.44402486085891724,0.6058907858725401
S2B D1 hierarchical Morgan Huber,val_time,U-73122,3,11691,0.382479727268219,0.2658458650112152,0.3911412777320741,0.382479727268219,0.634590710803182
S2B D1 hierarchical Morgan Huber,val_time,Valinomycin,3,11328,0.3874589204788208,0.2820267677307129,0.3661114204122236,0.3874589204788208,0.6005473163841808
S2B D1 hierarchical Morgan Huber,val_time,Wortmannin,4,15015,0.5017244219779968,0.35724952816963196,0.43306935017674913,0.5017244219779968,0.6380286380286381
S2B D2 hierarchical Morgan experimental FC,val_time,"(1R, 2S, 5R) - (-) - Menthol",5,18772,0.429005891084671,0.29068079590797424,0.4640485210069546,0.429005891084671,0.6348817387598551
S2B D2 hierarchical Morgan experimental FC,val_time,4-Hydroxytamoxifen,1,1348,0.9503822922706604,0.7084932923316956,0.7423041774339108,0.9503822922706604,0.7692878338278932
S2B D2 hierarchical Morgan experimental FC,val_time,Amiodarone hydrochloride,2,3957,0.6815889477729797,0.4982353746891022,0.7282946091106235,0.6815889477729797,0.7667424816780389
S2B D2 hierarchical Morgan experimental FC,val_time,Anisomycin,4,15592,0.5367018580436707,0.3811701536178589,0.3046344892324796,0.5367018580436707,0.5860697793740379
S2B D2 hierarchical Morgan experimental FC,val_time,Artemisinin,3,11216,0.42350831627845764,0.301624596118927,0.373659377395206,0.42350831627845764,0.6167974322396577
S2B D2 hierarchical Morgan experimental FC,val_time,Brefeldin A,10,37695,0.4906575083732605,0.33573174476623535,0.26104678949961874,0.4906575083732605,0.5771322456559226
S2B D2 hierarchical Morgan experimental FC,val_time,CHX,3,11109,0.5128272175788879,0.3611593246459961,0.5808304955672594,0.5128272175788879,0.7131154919434692
S2B D2 hierarchical Morgan experimental FC,val_time,Cisplatin,8,28666,0.4756731390953064,0.33767521381378174,0.35584822783975445,0.4756731390953064,0.6209097885997349
S2B D2 hierarchical Morgan experimental FC,val_time,Clomiphene citrate,3,11308,0.4852777123451233,0.34222638607025146,0.4352615756636391,0.4852777123451233,0.6449416342412452
S2B D2 hierarchical Morgan experimental FC,val_time,Clotrimazole,2,7647,0.4372269809246063,0.2865408957004547,0.47464468369997254,0.4372269809246063,0.6347587289132993
S2B D2 hierarchical Morgan experimental FC,val_time,Cyclopiazonic acid,5,15046,0.6046940088272095,0.42175525426864624,0.6204350807864077,0.6046940088272095,0.7361424963445434
S2B D2 hierarchical Morgan experimental FC,val_time,Desipramine hydrochloride,2,7573,0.4622163474559784,0.33258405327796936,0.36272827934521384,0.4622163474559784,0.6119107355077248
S2B D2 hierarchical Morgan experimental FC,val_time,Dyclonine hydrochloride,3,11585,0.578660786151886,0.3814767599105835,0.21651788118184553,0.578660786151886,0.6253776435045317
S2B D2 hierarchical Morgan experimental FC,val_time,EDTA,12,43852,0.4920937418937683,0.3413882255554199,0.4021146550106483,0.4920937418937683,0.6434370154154885
S2B D2 hierarchical Morgan experimental FC,val_time,Emodin,1,3549,0.5243692398071289,0.39664432406425476,0.23467400261759216,0.5243692398071289,0.5626937165398704
S2B D2 hierarchical Morgan experimental FC,val_time,Geldanamycin,3,11398,0.48700150847435,0.33684512972831726,0.2895157374461062,0.48700150847435,0.593349710475522
S2B D2 hierarchical Morgan experimental FC,val_time,Haloperidol,3,11241,0.627144992351532,0.4586063027381897,0.36447848006932304,0.627144992351532,0.6007472644782492
S2B D2 hierarchical Morgan experimental FC,val_time,Harmine hydrochloride,4,14734,0.5047920942306519,0.3542954623699188,0.3739680261352475,0.5047920942306519,0.6031627528166146
S2B D2 hierarchical Morgan experimental FC,val_time,Hoechst 33258,3,10997,0.6567882299423218,0.46848857402801514,0.3244061652526353,0.6567882299423218,0.5947076475402382
S2B D2 hierarchical Morgan experimental FC,val_time,LY 294002 hydrochloride,1,3659,0.6893154978752136,0.48652175068855286,0.2648971595998163,0.6893154978752136,0.5711943153867177
S2B D2 hierarchical Morgan experimental FC,val_time,NaCl,6,14321,0.4946327209472656,0.3458905816078186,0.31237664424376593,0.4946327209472656,0.6027512045248237
S2B D2 hierarchical Morgan experimental FC,val_time,Nigericin,3,10307,0.5849614143371582,0.42031335830688477,0.4264309075329731,0.5849614143371582,0.6219074415445813
S2B D2 hierarchical Morgan experimental FC,val_time,Nocodazole,3,11312,0.4939108192920685,0.3366251289844513,0.335656683295638,0.4939108192920685,0.6391442715700142
S2B D2 hierarchical Morgan experimental FC,val_time,Nystatin dihydrate,1,3682,0.4233734905719757,0.28384625911712646,0.2492855042061921,0.4233734905719757,0.6629549158066268
S2B D2 hierarchical Morgan experimental FC,val_time,Oligomycin,1,3478,0.5554282069206238,0.41181066632270813,0.5306962502341199,0.5554282069206238,0.6575618171362853
S2B D2 hierarchical Morgan experimental FC,val_time,Parthenolide,2,6160,0.7504863739013672,0.5493184924125671,0.38907286306861805,0.7504863739013672,0.6456168831168831
S2B D2 hierarchical Morgan experimental FC,val_time,Rapamycin,7,21776,0.4475924074649811,0.3091384172439575,0.35586662765053,0.4475924074649811,0.6342762674504041
S2B D2 hierarchical Morgan experimental FC,val_time,SDS,6,21587,0.5012556910514832,0.3484010398387909,0.29238339746055314,0.5012556910514832,0.5968870153333025
S2B D2 hierarchical Morgan experimental FC,val_time,Sorbitol,10,28829,0.47946664690971375,0.3390282690525055,0.47294224565361626,0.47946664690971375,0.6496583301536647
S2B D2 hierarchical Morgan experimental FC,val_time,Staurosporine,3,11688,0.3870292603969574,0.25994396209716797,0.4449838470614106,0.3870292603969574,0.6656399726214921
S2B D2 hierarchical Morgan experimental FC,val_time,Trichostatin A,6,22699,0.5945205688476562,0.42361998558044434,0.30523409205050367,0.5945205688476562,0.5853121282875897
S2B D2 hierarchical Morgan experimental FC,val_time,Trifluoperazine dihydrochloride,1,3903,0.41259893774986267,0.2844228148460388,0.46853764004700543,0.41259893774986267,0.67384063540866
S2B D2 hierarchical Morgan experimental FC,val_time,Tunicamycin,2,7673,0.4591153860092163,0.30542993545532227,0.3012644283006477,0.4591153860092163,0.600938355271732
S2B D2 hierarchical Morgan experimental FC,val_time,U-73122,3,11691,0.3945183753967285,0.27196598052978516,0.39281179988857784,0.3945183753967285,0.6380976819775896
S2B D2 hierarchical Morgan experimental FC,val_time,Valinomycin,3,11328,0.3971458375453949,0.2863846719264984,0.35358380442801607,0.3971458375453949,0.5979872881355932
S2B D2 hierarchical Morgan experimental FC,val_time,Wortmannin,4,15015,0.4847237765789032,0.33702319860458374,0.5007974197998645,0.4847237765789032,0.6708624708624709
