oov_mode,rmse,mae,global_r2,sample_pcc_median,protein_pcc_median,n_valid_positions
known_full,0.7665912508964539,0.5280575156211853,0.9243080019950867,0.9635121822357178,0.8088440895080566,777388
oov_plate,0.7669382691383362,0.5293065309524536,0.924239456653595,0.9632924199104309,0.8076773881912231,777388
oov_instrument,0.7942662835121155,0.5534195303916931,0.9187441468238831,0.9602273106575012,0.8007169365882874,777388
all_oov,1.0264167785644531,0.7833299040794373,0.8643031120300293,0.945805549621582,0.18123824894428253,777388
