cv_type,structure,n_folds,rmse_fold_equal_mean,rmse_fold_median,rmse_fold_std,mae_fold_equal_mean,mae_fold_median,mae_fold_std,global_r2_fold_equal_mean,global_r2_fold_median,global_r2_fold_std,sample_pcc_median_fold_equal_mean,sample_pcc_median_fold_median,sample_pcc_median_fold_std,protein_pcc_median_fold_equal_mean,protein_pcc_median_fold_median,protein_pcc_median_fold_std
plate,no_batch,5,0.9198460459709168,0.9234197735786438,0.010531740750023782,0.7002590537071228,0.7002331018447876,0.010937320165303544,0.8906319499015808,0.8894757032394409,0.0031395585555318616,0.9610732555389404,0.9612939655780792,0.0013174763234071421,0.24283192157745356,0.2536634057760238,0.01761018438195918
plate,flat_batch,5,0.7276308178901673,0.727768063545227,0.015063812941854349,0.5170249819755555,0.5198405981063843,0.012424721067829473,0.9315356850624085,0.9313492178916932,0.0032442486077814765,0.9736883163452148,0.9738456904888152,0.0010887944792901342,0.7408002555370331,0.7320190072059631,0.015636179538763596
plate,hierarchical_batch,5,0.6609315156936646,0.6655569672584534,0.017216572476087235,0.4631331145763397,0.4702467322349548,0.013383544306930754,0.9434947848320008,0.9425843954086304,0.003257330630222377,0.9782567977905273,0.97858464717865,0.000842286938963166,0.7781677424907685,0.7747393250465393,0.011470250907012999
instrument,no_batch,5,1.0546148061752318,1.0701487064361572,0.06620460778572336,0.8124366283416748,0.83106929063797,0.05923615954053036,0.8546849370002747,0.8444299101829529,0.01898643249607948,0.9483946025371551,0.9457712173461914,0.004721855424959845,0.371679949760437,0.3411054462194443,0.0842590545759858
instrument,flat_batch,5,0.8709147810935974,0.835113525390625,0.0828349162712177,0.6327000260353088,0.5885995626449585,0.08522722557736902,0.8997361898422241,0.9132309556007384,0.02298790463356852,0.9619184732437134,0.9651385545730592,0.006065777280783816,0.48938406705856324,0.5586427748203278,0.1733519309240903
instrument,hierarchical_batch,5,0.8011287331581116,0.7934436798095703,0.051048754274703685,0.5776206970214843,0.5578982830047607,0.050649127445361715,0.9157947778701783,0.9216740131378174,0.013709352442574759,0.9663792371749877,0.9682762920856476,0.004362965132258166,0.545686948299408,0.5677036046981812,0.1370172033325866
