structure,scope,level,rms,max_abs
no_batch,instrument_fold_2_holdout,source,0.0,0.0
no_batch,instrument_fold_2_holdout,instrument,0.0,0.0
no_batch,instrument_fold_2_holdout,plate,0.0,0.0
no_batch,instrument_fold_2_holdout,batch,0.0,0.0
flat_batch,instrument_fold_2_holdout,source,0.0,0.0
flat_batch,instrument_fold_2_holdout,instrument,0.0,0.0
flat_batch,instrument_fold_2_holdout,plate,0.0,0.0
flat_batch,instrument_fold_2_holdout,batch,0.37479765425044803,0.5725358724594116
hierarchical_batch,instrument_fold_2_holdout,source,0.3928697870963674,0.6342342495918274
hierarchical_batch,instrument_fold_2_holdout,instrument,0.0,0.0
hierarchical_batch,instrument_fold_2_holdout,plate,0.0,0.0
hierarchical_batch,instrument_fold_2_holdout,batch,0.3928697870963674,0.6342342495918274
no_batch,instrument_fold_3_holdout,source,0.0,0.0
no_batch,instrument_fold_3_holdout,instrument,0.0,0.0
no_batch,instrument_fold_3_holdout,plate,0.0,0.0
no_batch,instrument_fold_3_holdout,batch,0.0,0.0
flat_batch,instrument_fold_3_holdout,source,0.0,0.0
flat_batch,instrument_fold_3_holdout,instrument,0.0,0.0
flat_batch,instrument_fold_3_holdout,plate,0.0,0.0
flat_batch,instrument_fold_3_holdout,batch,0.23479403487889877,0.35787925124168396
hierarchical_batch,instrument_fold_3_holdout,source,0.26213062548149096,0.40207716822624207
hierarchical_batch,instrument_fold_3_holdout,instrument,0.0,0.0
hierarchical_batch,instrument_fold_3_holdout,plate,0.0,0.0
hierarchical_batch,instrument_fold_3_holdout,batch,0.26213062548149096,0.40207716822624207
no_batch,instrument_fold_4_holdout,source,0.0,0.0
no_batch,instrument_fold_4_holdout,instrument,0.0,0.0
no_batch,instrument_fold_4_holdout,plate,0.0,0.0
no_batch,instrument_fold_4_holdout,batch,0.0,0.0
flat_batch,instrument_fold_4_holdout,source,0.0,0.0
flat_batch,instrument_fold_4_holdout,instrument,0.0,0.0
flat_batch,instrument_fold_4_holdout,plate,0.0,0.0
flat_batch,instrument_fold_4_holdout,batch,0.117853272756811,0.2043517529964447
hierarchical_batch,instrument_fold_4_holdout,source,0.31785782412281705,0.5032436847686768
