model,scenario,subset,n_samples,n_valid_positions,log2_rmse,mae,global_r2,sample_pcc_median,sample_r2_median,protein_pcc_median,protein_r2_median,sample_id_sha256
V2 batch-enabled Huber,val_chem_only,common_intersection,981,3577143,0.6195839643478394,0.449642151594162,0.9482799560431878,0.9804270603780536,0.9561289245922772,0.816899660560901,0.5493663262149701,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
V2 no-batch Morgan-only,val_chem_only,common_intersection,981,3577143,0.9536038637161256,0.7043556571006775,0.8774835175384428,0.968344688878415,0.907498249927008,0.2238230225382685,-0.0166261396475383,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
V2 experimental parity FC Morgan no-batch,val_chem_only,common_intersection,981,3577143,0.9898507595062256,0.7610264420509338,0.8679926800494019,0.9568865031260112,0.8875869336812984,0.0362588418384654,-0.0733703291315418,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
Matched Control,val_chem_only,common_intersection,981,3577143,0.3816509246826172,0.2542759776115417,0.9803758325231332,0.9923547151153468,0.9834327625409116,0.9163208172433852,0.8278896989302484,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
V2 batch-enabled Huber,val_strain_only,common_intersection,1313,4824234,0.736795961856842,0.5125687122344971,0.9253146060619976,0.9653311771917212,0.9278370832081538,0.7714490285638663,0.3476274592533442,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
V2 no-batch Morgan-only,val_strain_only,common_intersection,1313,4824234,0.9193727970123292,0.6404125094413757,0.8837147662505912,0.9583620140138954,0.9107255587332608,0.4553704402236989,-0.0218115070666962,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
V2 experimental parity FC Morgan no-batch,val_strain_only,common_intersection,1313,4824234,0.7939612865447998,0.5781867504119873,0.9132758775319496,0.969135195739348,0.9290685103596,0.3829553662727534,0.0199158795467812,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
Matched Control,val_strain_only,common_intersection,1313,4824234,0.4101383090019226,0.2734795808792114,0.976857946006016,0.9911467083600912,0.981110628573204,0.857274347319439,0.703702214666796,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
V2 batch-enabled Huber,val_both,common_intersection,266,960434,0.8314878940582275,0.5945226550102234,0.9067795907074592,0.9620895217928236,0.9098457120833228,0.8114977375733294,0.3373128489731192,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
V2 no-batch Morgan-only,val_both,common_intersection,266,960434,1.123327374458313,0.8296507000923157,0.8298578462591921,0.9393992644265184,0.8494324283097294,0.144830119547262,-0.2150065877067031,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
V2 experimental parity FC Morgan no-batch,val_both,common_intersection,266,960434,0.991726815700531,0.7664179801940918,0.8673878566386327,0.9525798735885638,0.8857511574693988,0.0319167309364188,-0.1322601561064988,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
Matched Control,val_both,common_intersection,266,960434,0.3852837979793548,0.2569970786571502,0.9799847663018254,0.9918442920006943,0.9825397685286026,0.9060808108620136,0.8017501149727173,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
V2 batch-enabled Huber,val_time,common_intersection,134,486393,0.5562522411346436,0.3819143176078796,0.9580394230929836,0.981990362360583,0.962043973448412,0.7580604600939844,0.548268481406536,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
V2 no-batch Morgan-only,val_time,common_intersection,134,486393,0.6948607563972473,0.4765073657035827,0.9345222847195116,0.9816811685032965,0.951998894560324,0.517148578148765,0.2362252961777219,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
V2 experimental parity FC Morgan no-batch,val_time,common_intersection,134,486393,0.7885404825210571,0.5718442797660828,0.9156770199986236,0.9661921399872654,0.9209854675814472,0.339136346758315,0.0749810231997614,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
Matched Control,val_time,common_intersection,134,486393,0.4335888624191284,0.2842686474323272,0.9745050477824022,0.991653006372907,0.9815590424680418,0.8548933578044341,0.70657739789998,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
S1 B anchor Morgan Huber,val_chem_only,common_intersection,981,3577143,0.5964546799659729,0.416370689868927,0.9520693338472421,0.980085276516251,0.9535449028163283,0.7991446327498709,0.6114296488223718,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,common_intersection,981,3577143,0.614058256149292,0.4321179687976837,0.949198369383152,0.9777764058905878,0.9509959922123571,0.8090181669522702,0.5903315414737559,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
S1 B anchor Morgan Huber,val_strain_only,common_intersection,1313,4824234,0.727517306804657,0.5071856379508972,0.927183811702146,0.9666678101074092,0.9310417465674761,0.7681702234342422,0.36371374152317304,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
