model,scenario,delta_response_norm,delta_batch_norm,batch_to_response_norm,delta_response_rms,delta_batch_rms
S1 B anchor Morgan Huber,val_chem_only,428.4729071174121,1081.020787814374,2.522961825257595,0.2265453827554024,0.5715653523802493
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,573.3249000972828,1153.1916094129956,2.011410300193346,0.3031326060019714,0.6097240460368156
S1 B anchor Morgan Huber,val_strain_only,608.5561946060551,1139.4545152941644,1.8723899705462417,0.2770680862448782,0.5187795058433496
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,566.4007606307711,1173.243195412567,2.0714011649736968,0.25787524009545204,0.53416307275159
S1 B anchor Morgan Huber,val_both,222.68568397559574,563.9311687801348,2.532408723867208,0.2272262676840072,0.5754297825747655
S1 C anchor Morgan Huber plus experimental FC,val_both,267.48898059549924,601.9087883015876,2.2502190070094996,0.27294310807144695,0.6141817696146182
S1 B anchor Morgan Huber,val_time,196.38034104241325,351.06429801115786,1.7876753658113709,0.2815816515535268,0.5033765819467214
S1 C anchor Morgan Huber plus experimental FC,val_time,201.94013114970105,359.3080189970192,1.779279913068191,0.2895536047153911,0.5151969126265827
