model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
S1 B anchor Morgan Huber,val_time,Anisomycin,4,15592,0.5356905460357666,0.37863460183143616,0.30862826110504527,0.5356905460357666,0.5823499230374551
S1 B anchor Morgan Huber,val_time,Artemisinin,3,11216,0.4543280005455017,0.32479989528656006,0.3376795760603916,0.4543280005455017,0.6141226818830242
S1 B anchor Morgan Huber,val_time,Brefeldin A,10,37695,0.523681640625,0.3641473054885864,0.2568048454749418,0.523681640625,0.584241941902109
S1 B anchor Morgan Huber,val_time,CHX,3,11109,0.5592316389083862,0.4092548191547394,0.5243128493183875,0.5592316389083862,0.6948420199837969
S1 B anchor Morgan Huber,val_time,Cisplatin,8,28666,0.4961663782596588,0.3492993116378784,0.3515136724583126,0.4961663782596588,0.627677387846229
S1 B anchor Morgan Huber,val_time,Clomiphene citrate,3,11308,0.5133745670318604,0.3630269169807434,0.36436959612176556,0.5133745670318604,0.6162893526706756
S1 B anchor Morgan Huber,val_time,Clotrimazole,2,7647,0.4971451163291931,0.3308646082878113,0.4187665725536938,0.4971451163291931,0.6174970576696743
S1 B anchor Morgan Huber,val_time,Cyclopiazonic acid,5,15046,0.7359402179718018,0.5228937864303589,0.35798388546761306,0.7359402179718018,0.6334573973149009
S1 B anchor Morgan Huber,val_time,Desipramine hydrochloride,2,7573,0.5337240695953369,0.3870866596698761,0.28317263164931666,0.5337240695953369,0.5699194506800476
S1 B anchor Morgan Huber,val_time,Dyclonine hydrochloride,3,11585,0.6225499510765076,0.4278278946876526,0.20235790047072755,0.6225499510765076,0.5687526974536038
S1 B anchor Morgan Huber,val_time,EDTA,12,43852,0.5372779965400696,0.379203200340271,0.3565928872053744,0.5372779965400696,0.6196524673903129
S1 B anchor Morgan Huber,val_time,Emodin,1,3549,0.5407524704933167,0.403530478477478,0.20742976648420167,0.5407524704933167,0.5739644970414202
S1 B anchor Morgan Huber,val_time,Geldanamycin,3,11398,0.5662696957588196,0.3870011568069458,0.25896194808051076,0.5662696957588196,0.6021231795051764
S1 B anchor Morgan Huber,val_time,Haloperidol,3,11241,0.673316240310669,0.49677327275276184,0.33670342071356696,0.673316240310669,0.6035050262432168
S1 B anchor Morgan Huber,val_time,Harmine hydrochloride,4,14734,0.5410650968551636,0.38095176219940186,0.3406362823975888,0.5410650968551636,0.5981403556400163
S1 B anchor Morgan Huber,val_time,Hoechst 33258,3,10997,0.6964951157569885,0.49962133169174194,0.27109933328389035,0.6964951157569885,0.5761571337637538
S1 B anchor Morgan Huber,val_time,LY 294002 hydrochloride,1,3659,0.7415627241134644,0.5304805636405945,0.2693139572385387,0.7415627241134644,0.5619021590598524
