scenario,chemical_name,S2C seed1,S2C seed2,S2C two-seed mean,gain_vs_average_single_rmse
val_both,Amphotericin B,0.8272536993026733,0.7988448143005371,0.8067198395729065,0.0063294172286987305
val_both,FCCP,0.8209790587425232,0.7938013076782227,0.8009576797485352,0.0064325034618377686
val_both,Hydroxyurea,0.8452264666557312,0.8192916512489319,0.8260552287101746,0.006203830242156982
val_both,Pentamidine isethionate,0.7109260559082031,0.690546452999115,0.6939879655838013,0.006748288869857788
val_both,Raloxifene hydrochloride,0.7510542273521423,0.7414358258247375,0.7398521900177002,0.006392836570739746
val_both,Sulfometuron methyl,0.6984810829162598,0.6863160729408264,0.686612069606781,0.005786508321762085
val_chem_only,Amphotericin B,0.5664427876472473,0.5855491757392883,0.5677229762077332,0.008273005485534668
val_chem_only,FCCP,0.547525942325592,0.5694893002510071,0.5499485731124878,0.008559048175811768
val_chem_only,Hydroxyurea,0.5711154341697693,0.5891472697257996,0.5717589259147644,0.00837242603302002
val_chem_only,Pentamidine isethionate,0.4730834364891052,0.49680253863334656,0.47537270188331604,0.009570285677909851
val_chem_only,Raloxifene hydrochloride,0.6010904312133789,0.6373428106307983,0.6065258979797363,0.012690722942352295
val_chem_only,Sulfometuron methyl,0.4838462173938751,0.500282883644104,0.4834437966346741,0.00862075388431549
val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",0.6682506799697876,0.7328782081604004,0.684903085231781,0.01566135883331299
val_strain_only,1-10 Phenanthroline monohydrate,0.6714518666267395,0.7385467290878296,0.6889533400535583,0.016045957803726196
val_strain_only,4-Hydroxytamoxifen,0.6830433011054993,0.7638614177703857,0.6835305690765381,0.03992179036140442
val_strain_only,Amiodarone hydrochloride,0.7556419968605042,0.7477535009384155,0.7166572213172913,0.03504052758216858
val_strain_only,Anisomycin,0.6624906659126282,0.7294787168502808,0.6799038648605347,0.0160808265209198
val_strain_only,Artemisinin,0.6836491823196411,0.7499331831932068,0.7015767693519592,0.015214413404464722
val_strain_only,Brefeldin A,0.6698042154312134,0.7373992204666138,0.6879322528839111,0.01566946506500244
val_strain_only,CHX,0.7400912642478943,0.7467975616455078,0.7328100204467773,0.010634392499923706
val_strain_only,Cisplatin,0.7503287196159363,0.7441746592521667,0.7355185747146606,0.01173311471939087
val_strain_only,Clomiphene citrate,0.6630606055259705,0.7263177633285522,0.6784716248512268,0.016217559576034546
val_strain_only,Clotrimazole,0.6592847108840942,0.7298738956451416,0.6787455677986145,0.015833735466003418
val_strain_only,Cyclopiazonic acid,0.7615618705749512,0.7564592361450195,0.6994010806083679,0.05960947275161743
val_strain_only,Desipramine hydrochloride,0.6578729152679443,0.7211619019508362,0.6740396618843079,0.015477746725082397
val_strain_only,Dyclonine hydrochloride,0.6435343027114868,0.7100526094436646,0.6619867086410522,0.014806747436523438
val_strain_only,EDTA,0.7495337724685669,0.7554413080215454,0.7404079437255859,0.012079596519470215
val_strain_only,Emodin,0.6669713854789734,0.7321957349777222,0.6846879720687866,0.014895588159561157
val_strain_only,Geldanamycin,0.6711758971214294,0.7386996150016785,0.6892330050468445,0.015704751014709473
val_strain_only,Haloperidol,0.6591059565544128,0.72957843542099,0.6785683631896973,0.01577383279800415
val_strain_only,Harmine hydrochloride,0.7083728313446045,0.76787269115448,0.7227990627288818,0.0153236985206604
val_strain_only,Hoechst 33258,0.819290816783905,0.7867368459701538,0.7885074615478516,0.014506369829177856
val_strain_only,LY 294002 hydrochloride,0.6805326342582703,0.7408970594406128,0.6968799233436584,0.013834923505783081
val_strain_only,NaCl,0.798992395401001,0.795252799987793,0.7861869931221008,0.010935604572296143
val_strain_only,Nigericin,0.6920891404151917,0.7137476801872253,0.6878572702407837,0.015061140060424805
val_strain_only,Nocodazole,0.6760693788528442,0.7551062107086182,0.7009156346321106,0.014672160148620605
val_strain_only,Nystatin dihydrate,0.6731666326522827,0.6926417946815491,0.6668086051940918,0.016095608472824097
val_strain_only,Oligomycin,0.7148744463920593,0.7805059552192688,0.7345215678215027,0.013168632984161377
val_strain_only,Parthenolide,0.6569339632987976,0.7356247901916504,0.6824875473976135,0.013791829347610474
val_strain_only,Rapamycin,0.7842124700546265,0.7823690176010132,0.7721428871154785,0.011147856712341309
val_strain_only,SDS,0.7640052437782288,0.7646063566207886,0.752463161945343,0.01184263825416565
val_strain_only,Sorbitol,0.7791789174079895,0.7646453976631165,0.7611576318740845,0.010754525661468506
val_strain_only,Staurosporine,0.6591993570327759,0.7282523512840271,0.6781204342842102,0.015605419874191284
val_strain_only,Trichostatin A,0.6998899579048157,0.752745509147644,0.7108691930770874,0.015448540449142456
val_strain_only,Trifluoperazine dihydrochloride,0.662285327911377,0.7283785939216614,0.6792349815368652,0.01609697937965393
val_strain_only,Tunicamycin,0.676684558391571,0.7457184195518494,0.6956201195716858,0.015581369400024414
val_strain_only,U-73122,0.666696310043335,0.7287516593933105,0.6817789673805237,0.015945017337799072
val_strain_only,Valinomycin,0.6761162877082825,0.7415729761123657,0.6936061382293701,0.01523849368095398
val_strain_only,Wortmannin,0.6935805082321167,0.6950533986091614,0.6767266988754272,0.017590254545211792
val_time,"(1R, 2S, 5R) - (-) - Menthol",0.429005891084671,0.4153127670288086,0.4162009060382843,0.005958423018455505
val_time,4-Hydroxytamoxifen,0.9503822922706604,0.9493606090545654,0.94748455286026,0.0023868978023529053
val_time,Amiodarone hydrochloride,0.6815889477729797,0.6531867980957031,0.656491756439209,0.010896116495132446
val_time,Anisomycin,0.5367018580436707,0.5419542789459229,0.5273322463035583,0.011995822191238403
val_time,Artemisinin,0.42350831627845764,0.4473997950553894,0.4242243468761444,0.011229708790779114
val_time,Brefeldin A,0.4906575083732605,0.48957112431526184,0.4823489189147949,0.0077653974294662476
val_time,CHX,0.5128272175788879,0.5031440854072571,0.4989824891090393,0.009003162384033203
val_time,Cisplatin,0.4756731390953064,0.4911484718322754,0.4727024435997009,0.010708361864089966
val_time,Clomiphene citrate,0.4852777123451233,0.4801236093044281,0.4732896387577057,0.009411022067070007
val_time,Clotrimazole,0.4372269809246063,0.4264642000198364,0.4270775020122528,0.004768088459968567
val_time,Cyclopiazonic acid,0.6046940088272095,0.5963464975357056,0.5926269888877869,0.007893264293670654
val_time,Desipramine hydrochloride,0.4622163474559784,0.48773956298828125,0.46874889731407166,0.0062290579080581665
val_time,Dyclonine hydrochloride,0.578660786151886,0.5642155408859253,0.5640150308609009,0.007423132658004761
val_time,EDTA,0.4920937418937683,0.504101037979126,0.49145427346229553,0.006643116474151611
val_time,Emodin,0.5243692398071289,0.525233805179596,0.5185611248016357,0.006240397691726685
val_time,Geldanamycin,0.48700150847435,0.470826655626297,0.46477603912353516,0.01413804292678833
val_time,Haloperidol,0.627144992351532,0.563324511051178,0.5830714106559753,0.012163341045379639
val_time,Harmine hydrochloride,0.5047920942306519,0.47605255246162415,0.4833989441394806,0.00702337920665741
val_time,Hoechst 33258,0.6567882299423218,0.6766424775123596,0.6590726375579834,0.0076427161693573
val_time,LY 294002 hydrochloride,0.6893154978752136,0.659760594367981,0.659965455532074,0.014572590589523315
val_time,NaCl,0.4946327209472656,0.4955427944660187,0.4873449206352234,0.007742837071418762
val_time,Nigericin,0.5849614143371582,0.5416841506958008,0.5538020730018616,0.00952070951461792
val_time,Nocodazole,0.4939108192920685,0.4742824137210846,0.4775012135505676,0.006595402956008911
val_time,Nystatin dihydrate,0.4233734905719757,0.44525396823883057,0.41719937324523926,0.01711435616016388
val_time,Oligomycin,0.5554282069206238,0.4659287631511688,0.49454766511917114,0.01613081991672516
val_time,Parthenolide,0.7504863739013672,0.7399428486824036,0.7352752685546875,0.009939342737197876
val_time,Rapamycin,0.4475924074649811,0.45723456144332886,0.446898490190506,0.005514994263648987
val_time,SDS,0.5012556910514832,0.49953219294548035,0.491145521402359,0.009248420596122742
val_time,Sorbitol,0.47946664690971375,0.47468802332878113,0.47244593501091003,0.004631400108337402
val_time,Staurosporine,0.3870292603969574,0.38177093863487244,0.3740750551223755,0.010325044393539429
val_time,Trichostatin A,0.5945205688476562,0.5827599763870239,0.5830347537994385,0.005605518817901611
val_time,Trifluoperazine dihydrochloride,0.41259893774986267,0.38491538166999817,0.3837156593799591,0.015041500329971313
val_time,Tunicamycin,0.4591153860092163,0.49356624484062195,0.46851077675819397,0.007830038666725159
val_time,U-73122,0.3945183753967285,0.40760695934295654,0.3947363793849945,0.0063262879848480225
val_time,Valinomycin,0.3971458375453949,0.42329996824264526,0.399834007024765,0.010388895869255066
val_time,Wortmannin,0.4847237765789032,0.47726970911026,0.4740979075431824,0.006898835301399231
